subdomain,ip
gentecondrive.indrive.com,10.255.255.254#53
gentecondrive.indrive.com,198.202.211.1
gentecondrive.indrive.com,2620:cb:2000::1
fairchoice.indrive.com,10.255.255.254#53
fairchoice.indrive.com,198.202.211.1
fairchoice.indrive.com,2620:cb:2000::1
kazakhstan-intercity.indrive.com,10.255.255.254#53
kazakhstan-intercity.indrive.com,198.202.211.1
kazakhstan-intercity.indrive.com,2620:cb:2000::1
delivery-webview.indrive.com,10.255.255.254#53
delivery-webview.indrive.com,3.162.58.38
delivery-webview.indrive.com,3.162.58.59
delivery-webview.indrive.com,3.162.58.9
delivery-webview.indrive.com,3.162.58.60
infaces.indrive.com,10.255.255.254#53
infaces.indrive.com,198.202.211.1
infaces.indrive.com,2620:cb:2000::1
bus.indrive.com,10.255.255.254#53
bus.indrive.com,34.160.19.16
super_services.indrive.com,10.255.255.254#53
raqmet.indrive.com,10.255.255.254#53
analytics.indrive.com,10.255.255.254#53
analytics.indrive.com,34.149.86.174
inapps3.indrive.com,10.255.255.254#53
us.indrive.com,10.255.255.254#53
us.indrive.com,3.162.58.44
us.indrive.com,3.162.58.36
us.indrive.com,3.162.58.67
us.indrive.com,3.162.58.74
fr.indrive.com,10.255.255.254#53
birthday.indrive.com,10.255.255.254#53
movie.indrive.com,10.255.255.254#53
movie.indrive.com,167.172.86.54
money.indrive.com,10.255.255.254#53
money.indrive.com,3.162.58.36
money.indrive.com,3.162.58.74
money.indrive.com,3.162.58.44
money.indrive.com,3.162.58.67
compliance.indrive.com,10.255.255.254#53
compliance.indrive.com,3.162.58.74
compliance.indrive.com,3.162.58.36
compliance.indrive.com,3.162.58.44
compliance.indrive.com,3.162.58.67
couriers.indrive.com,10.255.255.254#53
couriers.indrive.com,3.162.58.108
couriers.indrive.com,3.162.58.64
couriers.indrive.com,3.162.58.97
couriers.indrive.com,3.162.58.111
book.indrive.com,10.255.255.254#53
book.indrive.com,3.162.58.44
book.indrive.com,3.162.58.36
book.indrive.com,3.162.58.67
book.indrive.com,3.162.58.74
yourpace.indrive.com,10.255.255.254#53
yourpace.indrive.com,198.202.211.1
yourpace.indrive.com,2620:cb:2000::1
media.indrive.com,10.255.255.254#53
media.indrive.com,44.193.169.210
media.indrive.com,98.91.6.141
inapps2.indrive.com,10.255.255.254#53
beginit.indrive.com,10.255.255.254#53
beginit.indrive.com,198.202.211.1
beginit.indrive.com,2620:cb:2000::1
sparklab.indrive.com,10.255.255.254#53
sparklab.indrive.com,3.162.58.44
sparklab.indrive.com,3.162.58.74
sparklab.indrive.com,3.162.58.36
sparklab.indrive.com,3.162.58.67
updrive.indrive.com,10.255.255.254#53
updrive.indrive.com,3.162.58.44
